member,member_index,resolution,predictor,value
Loc(2),1,4,P1(a=0),64.0
Loc(2),1,4,P1(a=1),63.999999999999986
Loc(2),1,4,P1(a=2),64.0
Loc(2),1,4,P2,64.0
Loc(2),1,4,P2_mean,64.0
Loc(2),1,4,P3,0.5000000000000017
Loc(2),1,4,P4,0.9999999999999998
Loc(2),1,4,P4_method,solved
Loc(2),1,4,P4-int,64.0
Loc(2),1,4,P5_outdeg,3.0
Loc(2),1,4,P5_persist,0.7000000000000001
Loc(2),1,4,P6,213.76477613675473
Loc(2),1,4,P7(1),99678.89635225486
Loc(2),1,4,P7(2),21551508.620689653
Loc(2),1,4,P7_method,mc
Loc(2),1,4,P7_distinct,99768.0
Loc(2),1,4,P7_samples,100000.0
Loc(2),1,4,P8,1.0000000000000044
Loc(2),1,4,P8_min,1.0000000000000044
Loc(2),1,8,P1(a=0),32.0
Loc(2),1,8,P1(a=1),32.0
Loc(2),1,8,P1(a=2),32.0
Loc(2),1,8,P2,32.0
Loc(2),1,8,P2_mean,32.0
Loc(2),1,8,P3,0.5000000000000017
Loc(2),1,8,P4,1.0
Loc(2),1,8,P4_method,solved
Loc(2),1,8,P4-int,32.0
Loc(2),1,8,P5_outdeg,3.0
Loc(2),1,8,P5_persist,0.8500000000000001
Loc(2),1,8,P6,188.0995032262236
Loc(2),1,8,P7(1),19438.800660031004
Loc(2),1,8,P7(2),11826.19575861074
Loc(2),1,8,P7_method,mc
Loc(2),1,8,P7_distinct,35418.0
Loc(2),1,8,P7_samples,100000.0
Loc(2),1,8,P8,1.0000000000000047
Loc(2),1,8,P8_min,1.0000000000000047
Loc(2),1,16,P1(a=0),16.0
Loc(2),1,16,P1(a=1),15.999999999999996
Loc(2),1,16,P1(a=2),16.0
Loc(2),1,16,P2,16.0
Loc(2),1,16,P2_mean,16.0
Loc(2),1,16,P3,0.5000000000000017
Loc(2),1,16,P4,1.0
Loc(2),1,16,P4_method,solved
Loc(2),1,16,P4-int,16.0
Loc(2),1,16,P5_outdeg,3.0
Loc(2),1,16,P5_persist,0.925
Loc(2),1,16,P6,157.06996610751133
Loc(2),1,16,P7(1),697.3462624362122
Loc(2),1,16,P7(2),406.7534768618005
Loc(2),1,16,P7_method,mc
Loc(2),1,16,P7_distinct,3373.0
Loc(2),1,16,P7_samples,100000.0
Loc(2),1,16,P8,1.0000000000000047
Loc(2),1,16,P8_min,1.0000000000000047
Loc(4),2,1,P1(a=0),256.0
Loc(4),2,1,P1(a=1),255.99999999999994
Loc(4),2,1,P1(a=2),256.0
Loc(4),2,1,P2,256.0
Loc(4),2,1,P2_mean,256.0
Loc(4),2,1,P3,0.49999999999999756
Loc(4),2,1,P4,nan
Loc(4),2,1,P4_method,not-solved
Loc(4),2,1,P4-int,256.0
Loc(4),2,1,P5_outdeg,9.0
Loc(4),2,1,P5_persist,0.11111111111111115
Loc(4),2,1,P6,214.26898349717408
Loc(4),2,1,P7(1),6.263701891180744e+54
Loc(4),2,1,P7(2),1.0482371307691295e+51
Loc(4),2,1,P7_method,closed
Loc(4),2,1,P7_se,0.0
Loc(4),2,1,P8,0.9999999999999966
Loc(4),2,1,P8_min,0.9999999999999966
Loc(4),2,2,P1(a=0),128.0
Loc(4),2,2,P1(a=1),127.99999999999997
Loc(4),2,2,P1(a=2),128.0
Loc(4),2,2,P2,128.0
Loc(4),2,2,P2_mean,128.0
Loc(4),2,2,P3,0.49999999999999756
Loc(4),2,2,P4,nan
Loc(4),2,2,P4_method,not-solved
Loc(4),2,2,P4-int,128.0
Loc(4),2,2,P5_outdeg,5.0
Loc(4),2,2,P5_persist,0.22222222222222232
Loc(4),2,2,P6,208.13176595153584
Loc(4),2,2,P7(1),100000.00000000001
Loc(4),2,2,P7(2),inf
Loc(4),2,2,P7_method,mc-saturated
Loc(4),2,2,P7_distinct,100000.0
Loc(4),2,2,P7_samples,100000.0
Loc(4),2,2,P8,0.9999999999999966
Loc(4),2,2,P8_min,0.9999999999999966
Loc(4),2,4,P1(a=0),64.0
Loc(4),2,4,P1(a=1),63.999999999999986
Loc(4),2,4,P1(a=2),64.0
Loc(4),2,4,P2,64.0
Loc(4),2,4,P2_mean,64.0
Loc(4),2,4,P3,0.49999999999999756
Loc(4),2,4,P4,1.0
Loc(4),2,4,P4_method,solved
Loc(4),2,4,P4-int,64.0
Loc(4),2,4,P5_outdeg,3.0
Loc(4),2,4,P5_persist,0.44444444444444464
Loc(4),2,4,P6,197.5577433462144
Loc(4),2,4,P7(1),100000.00000000001
Loc(4),2,4,P7(2),inf
Loc(4),2,4,P7_method,mc-saturated
Loc(4),2,4,P7_distinct,100000.0
Loc(4),2,4,P7_samples,100000.0
Loc(4),2,4,P8,0.9999999999999967
Loc(4),2,4,P8_min,0.9999999999999966
Loc(4),2,8,P1(a=0),32.0
Loc(4),2,8,P1(a=1),32.0
Loc(4),2,8,P1(a=2),32.0
Loc(4),2,8,P2,32.0
Loc(4),2,8,P2_mean,32.0
Loc(4),2,8,P3,0.49999999999999756
Loc(4),2,8,P4,1.0
Loc(4),2,8,P4_method,solved
Loc(4),2,8,P4-int,32.0
Loc(4),2,8,P5_outdeg,3.0
Loc(4),2,8,P5_persist,0.7222222222222223
Loc(4),2,8,P6,171.6705774742573
Loc(4),2,8,P7(1),98025.06212923618
Loc(4),2,8,P7(2),3387500.0000000005
Loc(4),2,8,P7_method,mc
Loc(4),2,8,P7_distinct,98583.0
Loc(4),2,8,P7_samples,100000.0
Loc(4),2,8,P8,0.9999999999999964
Loc(4),2,8,P8_min,0.9999999999999964
Loc(4),2,16,P1(a=0),16.0
Loc(4),2,16,P1(a=1),15.999999999999996
Loc(4),2,16,P1(a=2),16.0
Loc(4),2,16,P2,16.0
