member,ell,src,EV,Var,D1,D2,exceed,cls
Mix(0.05),4,exact,4.07372,2.78549,1.001e-01,3.828e-03,1,2nd
Mix(0.05),8,exact,3.95223,2.55177,1.019e-01,3.473e-03,1,2nd
Mix(0.05),16,exact,3.72288,2.14016,1.006e-01,2.729e-03,1,2nd
Mix(0.1),1,exact,7.29719,5.53955,1.415e-01,2.903e-03,1,2nd
Mix(0.1),2,exact,7.19622,5.32747,1.424e-01,2.816e-03,1,2nd
Mix(0.1),4,exact,6.9997,4.9272,1.446e-01,2.634e-03,1,2nd
Mix(0.1),8,exact,6.62729,4.21409,1.445e-01,2.257e-03,1,2nd
Mix(0.1),16,exact,5.95781,3.08117,1.245e-01,1.457e-03,1,2nd
Mix(0.2),1,exact,13.44124,9.54148,1.728e-01,6.412e-04,1,2nd
Mix(0.2),2,exact,13.09463,8.88981,1.749e-01,6.029e-04,1,2nd
Mix(0.2),4,exact,12.43611,7.71501,1.748e-01,5.212e-04,1,2nd
Mix(0.2),8,exact,11.24615,5.80568,1.538e-01,3.399e-04,1,2nd
Mix(0.2),16,exact,9.29396,3.27972,9.547e-02,9.987e-05,1,2nd
Mix(0.5),1,exact,30.99079,14.10465,1.968e-01,6.881e-06,1,2nd
Mix(0.5),2,exact,29.14071,12.36654,1.928e-01,9.961e-06,1,2nd
Mix(0.5),4,exact,25.86352,9.38255,1.589e-01,7.990e-06,1,2nd
Mix(0.5),8,exact,20.68542,5.20296,8.468e-02,2.984e-05,1,2nd
Mix(0.5),16,exact,14.03374,1.47591,1.706e-02,7.869e-05,1,2nd
"Block(4,0.02)",1,est,47.2764,30.39822,1.992e-01,2.694e-05,1,2nd
"Block(4,0.02)",2,est,36.28352,47.56051,1.804e-01,5.726e-04,1,2nd
"Block(4,0.02)",4,est,24.12319,45.85315,1.443e-01,3.421e-03,1,2nd
"Block(4,0.02)",8,est,14.14472,24.3662,1.091e-01,7.639e-03,1,2nd
"Block(4,0.02)",16,est,7.68135,8.57576,8.473e-02,9.382e-03,1,2nd
"Block(4,0.1)",1,est,54.20448,12.54777,2.010e-01,5.137e-05,1,2nd
"Block(4,0.1)",2,est,46.08978,20.11407,1.736e-01,1.892e-04,1,2nd
"Block(4,0.1)",4,est,34.94353,22.06766,1.145e-01,5.333e-04,1,2nd
"Block(4,0.1)",8,est,22.97049,13.53221,5.218e-02,8.704e-04,1,2nd
